time	V(in)	V(vt1)	V(vt2)	I(D2)
2.130514285760999e-004	5.025751e+000	5.299374e+000	4.800185e+000	1.774150e-015
2.166000000046712e-004	5.026105e+000	5.299374e+000	4.800185e+000	1.774150e-015
2.189328571475282e-004	5.018984e+000	5.299374e+000	4.800185e+000	1.774150e-015
2.212657142903852e-004	5.011794e+000	5.299374e+000	4.800185e+000	1.774150e-015
2.235985714332423e-004	5.004535e+000	5.299374e+000	4.800185e+000	1.774150e-015
2.259314285760993e-004	4.997208e+000	5.299374e+000	4.800185e+000	1.774150e-015
2.282642857189563e-004	4.989812e+000	5.299374e+000	4.800185e+000	1.774150e-015
2.305971428618134e-004	4.982346e+000	5.299374e+000	4.800185e+000	1.774150e-015
2.329300000046704e-004	4.974813e+000	5.299374e+000	4.800185e+000	1.774150e-015
2.331600000046704e-004	4.974352e+000	5.299374e+000	4.800185e+000	1.774150e-015
2.367085714332417e-004	4.974209e+000	5.299374e+000	4.800185e+000	1.774150e-015
2.402571428618129e-004	4.976542e+000	5.299374e+000	4.800185e+000	1.774150e-015
2.438057142903842e-004	4.981350e+000	5.299374e+000	4.800185e+000	1.774150e-015
2.473542857189555e-004	4.988632e+000	5.299374e+000	4.800185e+000	1.774150e-015
2.509028571475267e-004	4.998390e+000	5.299374e+000	4.800185e+000	1.774150e-015
2.544514285760980e-004	5.010622e+000	5.299374e+000	4.800185e+000	1.774150e-015
2.580000000046693e-004	5.025330e+000	5.299374e+000	4.800185e+000	1.774150e-015
2.614828571475262e-004	5.026061e+000	5.299374e+000	4.800185e+000	1.774150e-015
2.649657142903832e-004	5.024200e+000	5.299374e+000	4.800185e+000	1.774150e-015
2.684485714332402e-004	5.019745e+000	5.299374e+000	4.800185e+000	1.774150e-015
2.719314285760972e-004	5.012698e+000	5.299374e+000	4.800185e+000	1.774150e-015
2.754142857189542e-004	5.003058e+000	5.299374e+000	4.800185e+000	1.774150e-015
2.788971428618112e-004	4.990824e+000	5.299374e+000	4.800185e+000	1.774150e-015
2.823800000046681e-004	4.975998e+000	5.299374e+000	4.800185e+000	1.774150e-015
2.856985714332394e-004	4.973503e+000	5.299374e+000	4.800185e+000	1.774150e-015
2.890171428618107e-004	4.973909e+000	5.299374e+000	4.800185e+000	1.774150e-015
2.923357142903820e-004	4.977214e+000	5.299374e+000	4.800185e+000	1.774150e-015
2.956542857189532e-004	4.983420e+000	5.299374e+000	4.800185e+000	1.774150e-015
2.989728571475245e-004	4.992527e+000	5.299374e+000	4.800185e+000	1.774150e-015
3.022914285760958e-004	5.004533e+000	5.299374e+000	4.800185e+000	1.774150e-015
3.056100000046671e-004	5.019440e+000	5.299374e+000	4.800185e+000	1.774150e-015
3.087314285760955e-004	5.025429e+000	5.299374e+000	4.800185e+000	1.774150e-015
3.118528571475239e-004	5.028061e+000	5.299374e+000	4.800185e+000	1.774150e-015
3.149742857189523e-004	5.027337e+000	5.299374e+000	4.800185e+000	1.774150e-015
3.180957142903808e-004	5.023256e+000	5.299374e+000	4.800185e+000	1.774150e-015
3.212171428618092e-004	5.015818e+000	5.299374e+000	4.800185e+000	1.774150e-015
3.243385714332376e-004	5.005024e+000	5.299374e+000	4.800185e+000	1.774150e-015
3.274600000046660e-004	4.990873e+000	5.299374e+000	4.800185e+000	1.774150e-015
3.304500000046659e-004	4.980596e+000	5.299374e+000	4.800185e+000	1.774150e-015
3.334400000046658e-004	4.973892e+000	5.299374e+000	4.800185e+000	1.774150e-015
3.364300000046656e-004	4.970762e+000	5.299374e+000	4.800185e+000	1.774150e-015
3.394200000046655e-004	4.971205e+000	5.299374e+000	4.800185e+000	1.774150e-015
3.424100000046654e-004	4.975221e+000	5.299374e+000	4.800185e+000	1.774150e-015
3.454000000046652e-004	4.982810e+000	5.299374e+000	4.800185e+000	1.774150e-015
